origem;destino;distancia
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;27537000, RJ, RESENDE, Rodovia Presidente Dutra,  Km 298;499.58772471990557
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;31250010, MG, Belo Horizonte, Caiçara, Av. Presidente Carlos Luz, 1.155;817.203899465263
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;31748038, MG, Belo Horizonte, ROD PAPA JOAO PAULO II 1990, LOJA 2;828.8289887163481
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;1, MG, Belo Horizonte;810.3516254498238
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;31275083, MG, Belo Horizonte , São Luiz, Av. Pres.. Antônio Carlos, 7951;821.2694902592855
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;821.2694902592855
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;30494270, MG, BELO HORIZONTE, ESTORIL, Av Barão Homem de Melo, 3560 Bloco B;811.8863623417847
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;15025000, SP, São José do Rio Preto, Boa Vista, Av. Baddy Bassit, 5350;521.2012988545836
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;1, MG, Uberlandia;736.9917929785177
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;38408100, MG, UBERLANDIA, AV JOAO NAVES DE AVILA 3330;735.6637787317379
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;SP, Ribeirao Preto, AV MARIA DE JESUS CONDEIXA 1315;498.96648984274077
830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;1, MG, Patrocinio;761.1830753503181
