VIN;Número de Lote;Origem;Modelo;Nome Cliente;Destino;Cidade;Estado
93YCARRO001000001;AA201355;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Carbel Paris Catalao;31250010, MG, Belo Horizonte, Caiçara, Av. Presidente Carlos Luz, 1.155;Belo Horizonte;MG
93YCARRO001000002;AA201355;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;OROCH;Carbel Paris Catalao;31250010, MG, Belo Horizonte, Caiçara, Av. Presidente Carlos Luz, 1.155;Belo Horizonte;MG
93YCARRO001000003;AA201355;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Carbel Paris Catalao;31250010, MG, Belo Horizonte, Caiçara, Av. Presidente Carlos Luz, 1.155;Belo Horizonte;MG
93YCARRO001000004;AA201355;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Carbel Paris Catalao;31250010, MG, Belo Horizonte, Caiçara, Av. Presidente Carlos Luz, 1.155;Belo Horizonte;MG
93YCARRO001000005;AA201355;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Carbel Paris Catalao;31250010, MG, Belo Horizonte, Caiçara, Av. Presidente Carlos Luz, 1.155;Belo Horizonte;MG
93YCARRO001000006;AA201355;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Nova Duster;CARBEL PARIS VEICULOS LTDA;31748038, MG, Belo Horizonte, ROD PAPA JOAO PAULO II 1990, LOJA 2;Belo Horizonte;MG
93YCARRO001000007;AA201355;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Nova Duster;CARBEL PARIS VEICULOS LTDA;31748038, MG, Belo Horizonte, ROD PAPA JOAO PAULO II 1990, LOJA 2;Belo Horizonte;MG
93YCARRO001000008;AA201355;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Nova Duster;CARBEL PARIS VEICULOS LTDA;31748038, MG, Belo Horizonte, ROD PAPA JOAO PAULO II 1990, LOJA 2;Belo Horizonte;MG
93YCARRO001000009;AA201355;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;CARBEL PARIS VEICULOS LTDA;31748038, MG, Belo Horizonte, ROD PAPA JOAO PAULO II 1990, LOJA 2;Belo Horizonte;MG
93YCARRO001000010;AA201355;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000011;AA201355;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000012;AA201356;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000013;AA201356;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000014;AA201356;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000015;AA201356;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000016;AA201356;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000017;AA201356;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000018;AA201356;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000019;AA201356;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000020;AA201356;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000021;AA201356;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
